,Date,Users,year,month,day,day of week,weekend,season
0,2020-01-01,13,2020,1,1,2,0,winter
1,2020-01-02,17,2020,1,2,3,0,winter
2,2020-01-03,13,2020,1,3,4,0,winter
3,2020-01-04,4,2020,1,4,5,1,winter
4,2020-01-05,10,2020,1,5,6,1,winter
5,2020-01-06,29,2020,1,6,0,0,winter
6,2020-01-07,43,2020,1,7,1,0,winter
7,2020-01-08,27,2020,1,8,2,0,winter
8,2020-01-09,26,2020,1,9,3,0,winter
9,2020-01-10,20,2020,1,10,4,0,winter
10,2020-01-11,7,2020,1,11,5,1,winter
11,2020-01-12,7,2020,1,12,6,1,winter
12,2020-01-13,27,2020,1,13,0,0,winter
13,2020-01-14,33,2020,1,14,1,0,winter
14,2020-01-15,16,2020,1,15,2,0,winter
15,2020-01-16,14,2020,1,16,3,0,winter
16,2020-01-17,14,2020,1,17,4,0,winter
17,2020-01-18,18,2020,1,18,5,1,winter
18,2020-01-19,25,2020,1,19,6,1,winter
19,2020-01-20,16,2020,1,20,0,0,winter
20,2020-01-21,24,2020,1,21,1,0,winter
21,2020-01-22,17,2020,1,22,2,0,winter
22,2020-01-23,39,2020,1,23,3,0,winter
23,2020-01-24,43,2020,1,24,4,0,winter
24,2020-01-25,35,2020,1,25,5,1,winter
25,2020-01-26,37,2020,1,26,6,1,winter
26,2020-01-27,189,2020,1,27,0,0,winter
27,2020-01-28,197,2020,1,28,1,0,winter
28,2020-01-29,142,2020,1,29,2,0,winter
29,2020-01-30,79,2020,1,30,3,0,winter
30,2020-01-31,60,2020,1,31,4,0,winter
31,2020-02-01,46,2020,2,1,5,1,winter
32,2020-02-02,47,2020,2,2,6,1,winter
33,2020-02-03,60,2020,2,3,0,0,winter
34,2020-02-04,52,2020,2,4,1,0,winter
35,2020-02-05,38,2020,2,5,2,0,winter
36,2020-02-06,32,2020,2,6,3,0,winter
37,2020-02-07,40,2020,2,7,4,0,winter
38,2020-02-08,21,2020,2,8,5,1,winter
39,2020-02-09,30,2020,2,9,6,1,winter
40,2020-02-10,33,2020,2,10,0,0,winter
41,2020-02-11,13,2020,2,11,1,0,winter
42,2020-02-12,71,2020,2,12,2,0,winter
43,2020-02-13,59,2020,2,13,3,0,winter
44,2020-02-14,38,2020,2,14,4,0,winter
45,2020-02-15,45,2020,2,15,5,1,winter
46,2020-02-16,59,2020,2,16,6,1,winter
47,2020-02-17,46,2020,2,17,0,0,winter
48,2020-02-18,60,2020,2,18,1,0,winter
49,2020-02-19,77,2020,2,19,2,0,winter
50,2020-02-20,59,2020,2,20,3,0,winter
51,2020-02-21,51,2020,2,21,4,0,winter
52,2020-02-22,45,2020,2,22,5,1,winter
53,2020-02-23,30,2020,2,23,6,1,winter
54,2020-02-24,28,2020,2,24,0,0,winter
55,2020-02-25,80,2020,2,25,1,0,winter
56,2020-02-26,50,2020,2,26,2,0,winter
57,2020-02-27,53,2020,2,27,3,0,winter
58,2020-02-28,74,2020,2,28,4,0,winter
59,2020-02-29,46,2020,2,29,5,1,winter
60,2020-03-01,27,2020,3,1,6,1,winter
61,2020-03-02,62,2020,3,2,0,0,winter
62,2020-03-03,65,2020,3,3,1,0,winter
63,2020-03-04,75,2020,3,4,2,0,winter
64,2020-03-05,56,2020,3,5,3,0,winter
65,2020-03-06,52,2020,3,6,4,0,winter
66,2020-03-07,58,2020,3,7,5,1,winter
67,2020-03-08,41,2020,3,8,6,1,winter
68,2020-03-09,119,2020,3,9,0,0,winter
69,2020-03-10,78,2020,3,10,1,0,winter
70,2020-03-11,99,2020,3,11,2,0,winter
71,2020-03-12,62,2020,3,12,3,0,winter
72,2020-03-13,28,2020,3,13,4,0,winter
73,2020-03-14,10,2020,3,14,5,1,winter
74,2020-03-15,10,2020,3,15,6,1,winter
75,2020-03-16,10,2020,3,16,0,0,winter
76,2020-03-17,14,2020,3,17,1,0,winter
77,2020-03-18,13,2020,3,18,2,0,winter
78,2020-03-19,9,2020,3,19,3,0,winter
79,2020-03-20,27,2020,3,20,4,0,winter
80,2020-03-21,19,2020,3,21,5,1,spring
81,2020-03-22,7,2020,3,22,6,1,spring
82,2020-03-23,14,2020,3,23,0,0,spring
83,2020-03-24,8,2020,3,24,1,0,spring
84,2020-03-25,13,2020,3,25,2,0,spring
85,2020-03-26,10,2020,3,26,3,0,spring
86,2020-03-27,14,2020,3,27,4,0,spring
87,2020-03-28,7,2020,3,28,5,1,spring
88,2020-03-29,13,2020,3,29,6,1,spring
89,2020-03-30,5,2020,3,30,0,0,spring
90,2020-03-31,6,2020,3,31,1,0,spring
91,2020-04-01,10,2020,4,1,2,0,spring
92,2020-04-02,16,2020,4,2,3,0,spring
93,2020-04-03,13,2020,4,3,4,0,spring
94,2020-04-04,9,2020,4,4,5,1,spring
95,2020-04-05,16,2020,4,5,6,1,spring
96,2020-04-06,3,2020,4,6,0,0,spring
97,2020-04-07,6,2020,4,7,1,0,spring
98,2020-04-08,9,2020,4,8,2,0,spring
99,2020-04-09,0,2020,4,9,3,0,spring
100,2020-04-10,10,2020,4,10,4,0,spring
101,2020-04-11,14,2020,4,11,5,1,spring
102,2020-04-12,5,2020,4,12,6,1,spring
103,2020-04-13,6,2020,4,13,0,0,spring
104,2020-04-14,6,2020,4,14,1,0,spring
105,2020-04-15,10,2020,4,15,2,0,spring
106,2020-04-16,2,2020,4,16,3,0,spring
107,2020-04-17,12,2020,4,17,4,0,spring
108,2020-04-18,3,2020,4,18,5,1,spring
109,2020-04-19,6,2020,4,19,6,1,spring
110,2020-04-20,16,2020,4,20,0,0,spring
111,2020-04-21,10,2020,4,21,1,0,spring
112,2020-04-22,12,2020,4,22,2,0,spring
113,2020-04-23,2,2020,4,23,3,0,spring
114,2020-04-24,11,2020,4,24,4,0,spring
115,2020-04-25,2,2020,4,25,5,1,spring
116,2020-04-26,2,2020,4,26,6,1,spring
117,2020-04-27,12,2020,4,27,0,0,spring
118,2020-04-28,8,2020,4,28,1,0,spring
119,2020-04-29,23,2020,4,29,2,0,spring
120,2020-04-30,6,2020,4,30,3,0,spring
121,2020-05-01,9,2020,5,1,4,0,spring
122,2020-05-02,8,2020,5,2,5,1,spring
123,2020-05-03,11,2020,5,3,6,1,spring
124,2020-05-04,19,2020,5,4,0,0,spring
125,2020-05-05,4,2020,5,5,1,0,spring
126,2020-05-06,13,2020,5,6,2,0,spring
127,2020-05-07,26,2020,5,7,3,0,spring
128,2020-05-08,17,2020,5,8,4,0,spring
129,2020-05-09,11,2020,5,9,5,1,spring
130,2020-05-10,10,2020,5,10,6,1,spring
131,2020-05-11,18,2020,5,11,0,0,spring
132,2020-05-12,9,2020,5,12,1,0,spring
133,2020-05-13,12,2020,5,13,2,0,spring
134,2020-05-14,10,2020,5,14,3,0,spring
135,2020-05-15,10,2020,5,15,4,0,spring
136,2020-05-16,22,2020,5,16,5,1,spring
137,2020-05-17,9,2020,5,17,6,1,spring
138,2020-05-18,13,2020,5,18,0,0,spring
139,2020-05-19,10,2020,5,19,1,0,spring
140,2020-05-20,21,2020,5,20,2,0,spring
141,2020-05-21,12,2020,5,21,3,0,spring
142,2020-05-22,2,2020,5,22,4,0,spring
143,2020-05-23,13,2020,5,23,5,1,spring
144,2020-05-24,11,2020,5,24,6,1,spring
145,2020-05-25,16,2020,5,25,0,0,spring
146,2020-05-26,9,2020,5,26,1,0,spring
147,2020-05-27,8,2020,5,27,2,0,spring
148,2020-05-28,20,2020,5,28,3,0,spring
149,2020-05-29,22,2020,5,29,4,0,spring
150,2020-05-30,6,2020,5,30,5,1,spring
151,2020-05-31,21,2020,5,31,6,1,spring
152,2020-06-01,28,2020,6,1,0,0,spring
153,2020-06-02,14,2020,6,2,1,0,spring
154,2020-06-03,8,2020,6,3,2,0,spring
155,2020-06-04,4,2020,6,4,3,0,spring
156,2020-06-05,20,2020,6,5,4,0,spring
157,2020-06-06,7,2020,6,6,5,1,spring
158,2020-06-07,20,2020,6,7,6,1,spring
159,2020-06-08,12,2020,6,8,0,0,spring
160,2020-06-09,6,2020,6,9,1,0,spring
161,2020-06-10,12,2020,6,10,2,0,spring
162,2020-06-11,13,2020,6,11,3,0,spring
163,2020-06-12,11,2020,6,12,4,0,spring
164,2020-06-13,15,2020,6,13,5,1,spring
165,2020-06-14,15,2020,6,14,6,1,spring
166,2020-06-15,8,2020,6,15,0,0,spring
167,2020-06-16,32,2020,6,16,1,0,spring
168,2020-06-17,25,2020,6,17,2,0,spring
169,2020-06-18,53,2020,6,18,3,0,spring
170,2020-06-19,18,2020,6,19,4,0,spring
171,2020-06-20,20,2020,6,20,5,1,spring
172,2020-06-21,18,2020,6,21,6,1,summer
173,2020-06-22,34,2020,6,22,0,0,summer
174,2020-06-23,43,2020,6,23,1,0,summer
175,2020-06-24,45,2020,6,24,2,0,summer
176,2020-06-25,18,2020,6,25,3,0,summer
177,2020-06-26,62,2020,6,26,4,0,summer
178,2020-06-27,31,2020,6,27,5,1,summer
179,2020-06-28,32,2020,6,28,6,1,summer
180,2020-06-29,47,2020,6,29,0,0,summer
181,2020-06-30,54,2020,6,30,1,0,summer
182,2020-07-01,45,2020,7,1,2,0,summer
183,2020-07-02,36,2020,7,2,3,0,summer
184,2020-07-03,38,2020,7,3,4,0,summer
185,2020-07-04,24,2020,7,4,5,1,summer
186,2020-07-05,36,2020,7,5,6,1,summer
187,2020-07-06,36,2020,7,6,0,0,summer
188,2020-07-07,45,2020,7,7,1,0,summer
189,2020-07-08,92,2020,7,8,2,0,summer
190,2020-07-09,34,2020,7,9,3,0,summer
191,2020-07-10,66,2020,7,10,4,0,summer
192,2020-07-11,76,2020,7,11,5,1,summer
193,2020-07-12,60,2020,7,12,6,1,summer
194,2020-07-13,131,2020,7,13,0,0,summer
195,2020-07-14,47,2020,7,14,1,0,summer
196,2020-07-15,53,2020,7,15,2,0,summer
197,2020-07-16,42,2020,7,16,3,0,summer
198,2020-07-17,43,2020,7,17,4,0,summer
199,2020-07-18,45,2020,7,18,5,1,summer
200,2020-07-19,22,2020,7,19,6,1,summer
201,2020-07-20,46,2020,7,20,0,0,summer
202,2020-07-21,101,2020,7,21,1,0,summer
203,2020-07-22,70,2020,7,22,2,0,summer
204,2020-07-23,60,2020,7,23,3,0,summer
205,2020-07-24,45,2020,7,24,4,0,summer
206,2020-07-25,28,2020,7,25,5,1,summer
207,2020-07-26,61,2020,7,26,6,1,summer
208,2020-07-27,82,2020,7,27,0,0,summer
209,2020-07-28,77,2020,7,28,1,0,summer
210,2020-07-29,73,2020,7,29,2,0,summer
211,2020-07-30,47,2020,7,30,3,0,summer
212,2020-07-31,57,2020,7,31,4,0,summer
213,2020-08-01,38,2020,8,1,5,1,summer
214,2020-08-02,44,2020,8,2,6,1,summer
215,2020-08-03,88,2020,8,3,0,0,summer
216,2020-08-04,24,2020,8,4,1,0,summer
217,2020-08-05,30,2020,8,5,2,0,summer
218,2020-08-06,60,2020,8,6,3,0,summer
219,2020-08-07,42,2020,8,7,4,0,summer
220,2020-08-08,61,2020,8,8,5,1,summer
221,2020-08-09,40,2020,8,9,6,1,summer
222,2020-08-10,53,2020,8,10,0,0,summer
223,2020-08-11,50,2020,8,11,1,0,summer
224,2020-08-12,41,2020,8,12,2,0,summer
225,2020-08-13,68,2020,8,13,3,0,summer
226,2020-08-14,43,2020,8,14,4,0,summer
227,2020-08-15,24,2020,8,15,5,1,summer
228,2020-08-16,31,2020,8,16,6,1,summer
229,2020-08-17,42,2020,8,17,0,0,summer
230,2020-08-18,36,2020,8,18,1,0,summer
231,2020-08-19,36,2020,8,19,2,0,summer
232,2020-08-20,46,2020,8,20,3,0,summer
233,2020-08-21,40,2020,8,21,4,0,summer
234,2020-08-22,33,2020,8,22,5,1,summer
235,2020-08-23,28,2020,8,23,6,1,summer
236,2020-08-24,35,2020,8,24,0,0,summer
237,2020-08-25,48,2020,8,25,1,0,summer
238,2020-08-26,57,2020,8,26,2,0,summer
239,2020-08-27,69,2020,8,27,3,0,summer
240,2020-08-28,54,2020,8,28,4,0,summer
241,2020-08-29,43,2020,8,29,5,1,summer
242,2020-08-30,40,2020,8,30,6,1,summer
243,2020-08-31,66,2020,8,31,0,0,summer
244,2020-09-01,58,2020,9,1,1,0,summer
245,2020-09-02,48,2020,9,2,2,0,summer
246,2020-09-03,52,2020,9,3,3,0,summer
247,2020-09-04,26,2020,9,4,4,0,summer
248,2020-09-05,39,2020,9,5,5,1,summer
249,2020-09-06,45,2020,9,6,6,1,summer
250,2020-09-07,100,2020,9,7,0,0,summer
251,2020-09-08,89,2020,9,8,1,0,summer
252,2020-09-09,95,2020,9,9,2,0,summer
253,2020-09-10,87,2020,9,10,3,0,summer
254,2020-09-11,55,2020,9,11,4,0,summer
255,2020-09-12,32,2020,9,12,5,1,summer
256,2020-09-13,87,2020,9,13,6,1,summer
257,2020-09-14,86,2020,9,14,0,0,summer
258,2020-09-15,112,2020,9,15,1,0,summer
259,2020-09-16,174,2020,9,16,2,0,summer
260,2020-09-17,43,2020,9,17,3,0,summer
261,2020-09-18,60,2020,9,18,4,0,summer
262,2020-09-19,32,2020,9,19,5,1,summer
263,2020-09-20,13,2020,9,20,6,1,summer
264,2020-09-21,45,2020,9,21,0,0,summer
265,2020-09-22,28,2020,9,22,1,0,summer
266,2020-09-23,39,2020,9,23,2,0,autumn
267,2020-09-24,54,2020,9,24,3,0,autumn
268,2020-09-25,38,2020,9,25,4,0,autumn
269,2020-09-26,20,2020,9,26,5,1,autumn
270,2020-09-27,6,2020,9,27,6,1,autumn
271,2020-09-28,48,2020,9,28,0,0,autumn
272,2020-09-29,58,2020,9,29,1,0,autumn
273,2020-09-30,62,2020,9,30,2,0,autumn
274,2020-10-01,32,2020,10,1,3,0,autumn
275,2020-10-02,15,2020,10,2,4,0,autumn
276,2020-10-03,10,2020,10,3,5,1,autumn
277,2020-10-04,33,2020,10,4,6,1,autumn
278,2020-10-05,21,2020,10,5,0,0,autumn
279,2020-10-06,48,2020,10,6,1,0,autumn
280,2020-10-07,43,2020,10,7,2,0,autumn
281,2020-10-08,16,2020,10,8,3,0,autumn
282,2020-10-09,30,2020,10,9,4,0,autumn
283,2020-10-10,22,2020,10,10,5,1,autumn
284,2020-10-11,14,2020,10,11,6,1,autumn
285,2020-10-12,16,2020,10,12,0,0,autumn
286,2020-10-13,39,2020,10,13,1,0,autumn
287,2020-10-14,27,2020,10,14,2,0,autumn
288,2020-10-15,12,2020,10,15,3,0,autumn
289,2020-10-16,16,2020,10,16,4,0,autumn
290,2020-10-17,7,2020,10,17,5,1,autumn
291,2020-10-18,10,2020,10,18,6,1,autumn
292,2020-10-19,47,2020,10,19,0,0,autumn
293,2020-10-20,31,2020,10,20,1,0,autumn
294,2020-10-21,62,2020,10,21,2,0,autumn
295,2020-10-22,72,2020,10,22,3,0,autumn
296,2020-10-23,62,2020,10,23,4,0,autumn
297,2020-10-24,36,2020,10,24,5,1,autumn
298,2020-10-25,44,2020,10,25,6,1,autumn
299,2020-10-26,58,2020,10,26,0,0,autumn
300,2020-10-27,50,2020,10,27,1,0,autumn
301,2020-10-28,64,2020,10,28,2,0,autumn
302,2020-10-29,50,2020,10,29,3,0,autumn
303,2020-10-30,30,2020,10,30,4,0,autumn
304,2020-10-31,18,2020,10,31,5,1,autumn
305,2020-11-01,41,2020,11,1,6,1,autumn
306,2020-11-02,55,2020,11,2,0,0,autumn
307,2020-11-03,55,2020,11,3,1,0,autumn
308,2020-11-04,39,2020,11,4,2,0,autumn
309,2020-11-05,38,2020,11,5,3,0,autumn
310,2020-11-06,32,2020,11,6,4,0,autumn
311,2020-11-07,37,2020,11,7,5,1,autumn
312,2020-11-08,30,2020,11,8,6,1,autumn
313,2020-11-09,55,2020,11,9,0,0,autumn
314,2020-11-10,42,2020,11,10,1,0,autumn
315,2020-11-11,52,2020,11,11,2,0,autumn
316,2020-11-12,61,2020,11,12,3,0,autumn
317,2020-11-13,35,2020,11,13,4,0,autumn
318,2020-11-14,42,2020,11,14,5,1,autumn
319,2020-11-15,35,2020,11,15,6,1,autumn
320,2020-11-16,51,2020,11,16,0,0,autumn
321,2020-11-17,2,2020,11,17,1,0,autumn
322,2020-11-18,3,2020,11,18,2,0,autumn
323,2020-11-19,3,2020,11,19,3,0,autumn
324,2020-11-20,0,2020,11,20,4,0,autumn
325,2020-11-21,0,2020,11,21,5,1,autumn
326,2020-11-22,0,2020,11,22,6,1,autumn
327,2020-11-23,2,2020,11,23,0,0,autumn
328,2020-11-24,35,2020,11,24,1,0,autumn
329,2020-11-25,38,2020,11,25,2,0,autumn
330,2020-11-26,34,2020,11,26,3,0,autumn
331,2020-11-27,23,2020,11,27,4,0,autumn
332,2020-11-28,39,2020,11,28,5,1,autumn
333,2020-11-29,47,2020,11,29,6,1,autumn
334,2020-11-30,37,2020,11,30,0,0,autumn
335,2020-12-01,27,2020,12,1,1,0,autumn
336,2020-12-02,38,2020,12,2,2,0,autumn
337,2020-12-03,43,2020,12,3,3,0,autumn
338,2020-12-04,29,2020,12,4,4,0,autumn
339,2020-12-05,47,2020,12,5,5,1,autumn
340,2020-12-06,50,2020,12,6,6,1,autumn
341,2020-12-07,37,2020,12,7,0,0,autumn
342,2020-12-08,40,2020,12,8,1,0,autumn
343,2020-12-09,30,2020,12,9,2,0,autumn
344,2020-12-10,41,2020,12,10,3,0,autumn
345,2020-12-11,51,2020,12,11,4,0,autumn
346,2020-12-12,29,2020,12,12,5,1,autumn
347,2020-12-13,46,2020,12,13,6,1,autumn
348,2020-12-14,50,2020,12,14,0,0,autumn
349,2020-12-15,40,2020,12,15,1,0,autumn
350,2020-12-16,45,2020,12,16,2,0,autumn
351,2020-12-17,44,2020,12,17,3,0,autumn
352,2020-12-18,56,2020,12,18,4,0,autumn
353,2020-12-19,31,2020,12,19,5,1,autumn
354,2020-12-20,54,2020,12,20,6,1,autumn
355,2020-12-21,43,2020,12,21,0,0,winter
356,2020-12-22,11,2020,12,22,1,0,winter
357,2020-12-23,14,2020,12,23,2,0,winter
358,2020-12-24,13,2020,12,24,3,0,winter
359,2020-12-25,6,2020,12,25,4,0,winter
360,2020-12-26,13,2020,12,26,5,1,winter
361,2020-12-27,19,2020,12,27,6,1,winter
362,2020-12-28,18,2020,12,28,0,0,winter
363,2020-12-29,19,2020,12,29,1,0,winter
364,2020-12-30,5,2020,12,30,2,0,winter
365,2020-12-31,5,2020,12,31,3,0,winter
366,2021-01-01,3,2021,1,1,4,0,winter
367,2021-01-02,13,2021,1,2,5,1,winter
368,2021-01-03,18,2021,1,3,6,1,winter
369,2021-01-04,16,2021,1,4,0,0,winter
370,2021-01-05,27,2021,1,5,1,0,winter
371,2021-01-06,8,2021,1,6,2,0,winter
372,2021-01-07,19,2021,1,7,3,0,winter
373,2021-01-08,19,2021,1,8,4,0,winter
374,2021-01-09,9,2021,1,9,5,1,winter
375,2021-01-10,28,2021,1,10,6,1,winter
376,2021-01-11,19,2021,1,11,0,0,winter
377,2021-01-12,27,2021,1,12,1,0,winter
378,2021-01-13,26,2021,1,13,2,0,winter
379,2021-01-14,27,2021,1,14,3,0,winter
380,2021-01-15,22,2021,1,15,4,0,winter
381,2021-01-16,17,2021,1,16,5,1,winter
382,2021-01-17,14,2021,1,17,6,1,winter
383,2021-01-18,9,2021,1,18,0,0,winter
384,2021-01-19,8,2021,1,19,1,0,winter
385,2021-01-20,14,2021,1,20,2,0,winter
386,2021-01-21,20,2021,1,21,3,0,winter
387,2021-01-22,7,2021,1,22,4,0,winter
388,2021-01-23,9,2021,1,23,5,1,winter
389,2021-01-24,10,2021,1,24,6,1,winter
390,2021-01-25,15,2021,1,25,0,0,winter
391,2021-01-26,21,2021,1,26,1,0,winter
392,2021-01-27,15,2021,1,27,2,0,winter
393,2021-01-28,13,2021,1,28,3,0,winter
394,2021-01-29,21,2021,1,29,4,0,winter
395,2021-01-30,5,2021,1,30,5,1,winter
396,2021-01-31,3,2021,1,31,6,1,winter
397,2021-02-01,26,2021,2,1,0,0,winter
398,2021-02-02,36,2021,2,2,1,0,winter
399,2021-02-03,39,2021,2,3,2,0,winter
400,2021-02-04,66,2021,2,4,3,0,winter
401,2021-02-05,29,2021,2,5,4,0,winter
402,2021-02-06,55,2021,2,6,5,1,winter
403,2021-02-07,38,2021,2,7,6,1,winter
404,2021-02-08,50,2021,2,8,0,0,winter
405,2021-02-09,44,2021,2,9,1,0,winter
406,2021-02-10,37,2021,2,10,2,0,winter
407,2021-02-11,53,2021,2,11,3,0,winter
408,2021-02-12,39,2021,2,12,4,0,winter
409,2021-02-13,17,2021,2,13,5,1,winter
410,2021-02-14,52,2021,2,14,6,1,winter
411,2021-02-15,38,2021,2,15,0,0,winter
412,2021-02-16,42,2021,2,16,1,0,winter
413,2021-02-17,43,2021,2,17,2,0,winter
414,2021-02-18,50,2021,2,18,3,0,winter
415,2021-02-19,31,2021,2,19,4,0,winter
416,2021-02-20,20,2021,2,20,5,1,winter
417,2021-02-21,34,2021,2,21,6,1,winter
418,2021-02-22,49,2021,2,22,0,0,winter
419,2021-02-23,32,2021,2,23,1,0,winter
420,2021-02-24,48,2021,2,24,2,0,winter
421,2021-02-25,25,2021,2,25,3,0,winter
422,2021-02-26,39,2021,2,26,4,0,winter
423,2021-02-27,14,2021,2,27,5,1,winter
424,2021-02-28,20,2021,2,28,6,1,winter
425,2021-03-01,48,2021,3,1,0,0,winter
426,2021-03-02,35,2021,3,2,1,0,winter
